model_name,top1_acc,top5_acc,samples,model_file_mb,lat_mean_ms,lat_median_ms,lat_std_ms,lat_min_ms,lat_max_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,thr_mean_sps,thr_median_sps,thr_std_sps,thr_min_sps,thr_max_sps,thr_p50_sps,thr_p90_sps,thr_p95_sps,thr_p99_sps,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend
densenet121.tflite,0.733,0.909,1000,30.563220977783203,175.65948343276978,171.61977291107178,20.56992374708373,141.4041519165039,221.50874137878418,171.61977291107178,208.48441123962402,214.59258794784546,217.91260242462158,5.768274863191737,5.826834614746342,0.648697732842052,4.514494524123456,7.0719281325662795,5.826834614746342,6.621953040910353,6.662525529302941,6.784791022718039,2361.10116796875,2361.1015625,2361.1015625,2361.1015625,284.4375,284.4375,,,3751.7265625,2645.78125,2645.5390625,,TFLite
efficientnet_b0.tflite,0.771,0.929,1000,20.17715072631836,97.68585133552551,95.52061557769775,16.102593819752226,75.23107528686523,128.13854217529297,95.52061557769775,122.44527339935303,126.45138502120972,127.73124694824219,10.514529129322781,10.468944297434161,1.7034365841127366,7.804053199169414,13.292379461371228,10.468944297434161,12.945107033225513,13.00343663978688,13.088361759544172,1761.328125,1761.328125,1761.328125,1761.328125,877.1875,877.1875,,,3770.0859375,2639.265625,2638.515625,,TFLite
inception_v3.tflite,0.769,0.931,1000,90.92940902709961,294.80933713912964,286.74817085266113,30.760127872523427,248.030424118042,371.11520767211914,286.74817085266113,347.11055755615234,358.5384726524353,366.6794443130493,3.426896010007373,3.487380608167162,0.33630624168341733,2.694581033940009,4.031763456260844,3.487380608167162,3.8454110233000245,3.892477048944125,3.9154729851167347,3348.0625,3348.0625,3348.0625,3348.0625,902.12109375,902.12109375,,,6210.90234375,4250.1171875,4250.18359375,,TFLite
levit_128s.tflite,0.741,0.923,1000,31.525489807128906,9.03986644744873,9.097456932067871,1.0738982541758724,7.111787796020508,11.884927749633789,9.097456932067871,10.397171974182129,10.590696334838865,11.044459342956543,112.2455732230932,109.92083239311131,13.769048385764496,84.14018335372826,140.611619564853,109.92083239311131,134.10743815401335,135.213112858243,136.36048581584066,1721.4375,1721.4375,1721.4375,1721.4375,1120.78125,1120.78125,,,6210.90234375,2842.59375,2842.21875,,TFLite
mnasnet1_0.tflite,0.729,0.906,1000,16.679828643798828,9.303634881973267,9.547591209411621,1.1857291513719763,6.9026947021484375,14.408588409423828,9.547591209411621,10.557866096496582,10.907721519470215,11.498620510101318,109.36303611642066,104.73846001807622,14.859818589311987,69.40305126253433,144.87095882840563,104.73846001807622,133.29468937428638,133.91390416023808,136.0915242247784,1722.6640625,1722.6640625,1722.6640625,1722.6640625,1104.77734375,1104.77734375,,,6210.90234375,2827.44140625,2827.44140625,,TFLite
mobilenet_v2.tflite,0.713,0.906,1000,13.34295654296875,57.7677264213562,60.001492500305176,10.203412028459239,42.66643524169922,74.99170303344727,60.001492500305176,72.44565486907959,73.3884334564209,74.37535524368286,17.88806716796032,16.66626038425651,3.303227712382148,13.334808512802905,23.43762712622097,16.66626038425651,22.740183300725466,22.876091908399868,23.038388315294696,1733.95703125,1733.95703125,1733.95703125,1733.95703125,1089.97265625,1089.97265625,,,6210.90234375,2824.24609375,2823.9296875,,TFLite
mobilenet_v3_small.tflite,0.674,0.868,1000,11.987106323242188,24.12001657485962,24.852871894836426,4.332036361250641,15.24209976196289,29.059171676635742,24.852871894836426,28.486180305480957,28.65079641342163,28.921468257904053,43.13670187313447,40.23679863216786,9.455585440713918,34.41254317665302,65.60775848584389,40.23679863216786,61.24493140042857,62.76718352086547,63.34284314399981,1732.43359375,1732.43359375,1732.43359375,1732.43359375,1089.99609375,1089.99609375,,,6210.90234375,2822.6796875,2822.4296875,,TFLite
mobilevit_xxs.tflite,0.663,0.875,1000,5.279247283935547,14.208148717880249,14.486432075500488,1.7306781764246966,10.467052459716797,18.634557723999023,14.486432075500488,16.002631187438965,16.5429949760437,17.323918342590332,71.5296520955172,69.03011574840872,9.499902627664751,53.66373674176998,95.53787982324268,69.03011574840872,88.90023082222702,90.06643904743498,91.40322771793254,1148.3203125,1148.3203125,1148.3203125,1148.3203125,1093.265625,1093.265625,,,6210.90234375,2241.7265625,2241.5859375,,TFLite
resnet18.tflite,0.695,0.879,1000,44.593624114990234,96.20522379875183,95.70038318634033,11.29156954325691,79.57029342651367,123.51465225219727,95.70038318634033,114.10431861877441,116.3573145866394,120.1443600654602,10.53456093554197,10.449280796210338,1.2024657003885315,8.096205444178064,12.567504239802004,10.449280796210338,12.193626809474853,12.250809115709679,12.34152749893228,1765.8359375,1765.8359375,1765.8359375,1765.8359375,1089.703125,1089.703125,,,6210.90234375,2855.69921875,2855.5390625,,TFLite
resnet50_v1_mlperf.tflite,0.756,0.921,1000,97.43214416503906,66.75148224830627,66.55800342559814,3.1642435078150615,60.979604721069336,78.704833984375,66.55800342559814,70.85356712341309,72.25515842437744,73.45586061477661,15.014435222582506,15.02448916268798,0.7083514766817032,12.705699883675843,16.398925584614123,15.02448916268798,16.099633938141793,16.17622090073864,16.265150719285863,1148.22265625,1148.22265625,1148.22265625,1148.22265625,1185.7578125,1185.7578125,,,6210.90234375,2334.28125,2333.98046875,,TFLite
squeezenet1_1.tflite,0.595,0.804,1000,4.735343933105469,23.620197296142578,23.80502223968506,3.0744073803522647,18.09525489807129,30.071496963500977,23.80502223968506,27.537202835083008,28.021597862243652,28.974459171295166,43.093990604743524,42.007942398276,5.864744315612827,33.25408113915119,55.263106578652646,42.007942398276,52.67485746439976,53.01605218664605,53.37734921178646,1726.19140625,1726.19140625,1726.19140625,1726.19140625,1089.38671875,1089.38671875,,,6210.90234375,2815.88671875,2815.578125,,TFLite
