model_name,top1_acc,top5_acc,samples,model_file_mb,lat_mean,lat_median,lat_std,lat_min,lat_max,lat_p50,lat_p90,lat_p95,lat_p99,thr_mean,thr_median,thr_std,thr_min,thr_max,thr_p50,thr_p90,thr_p95,thr_p99,host_peak_delta_mean_mib,host_peak_delta_median_mib,host_peak_delta_p95_mib,host_peak_delta_max_mib,dev_peak_delta_mean_mib,dev_peak_delta_median_mib,dev_peak_delta_p95_mib,dev_peak_delta_max_mib,baseline_idle_host_mib,baseline_postload_host_mib,baseline_idle_dev_mib,baseline_postload_dev_mib,host_global_peak_mib,host_true_os_peak_mib,steady_host_mean_delta_mib_median,steady_dev_mean_delta_mib_median,mem_device_backend,energy_mean_j_per_sample,energy_median_j_per_sample,energy_p95_j_per_sample,energy_host_median_j_per_sample,energy_gpu_median_j_per_sample,energy_dram_median_j_per_sample,energy_mean_j_per_gflop,energy_median_j_per_gflop,gpu_power_mean_w_median,gpu_power_median_w_median,gpu_power_p95_w_median,lat_count,thr_count,host_peak_delta_count_mib,host_peak_delta_std_mib,host_peak_delta_min_mib,host_peak_delta_p50_mib,host_peak_delta_p90_mib,host_peak_delta_p99_mib,dev_peak_delta_count_mib,dev_peak_delta_std_mib,dev_peak_delta_min_mib,dev_peak_delta_p50_mib,dev_peak_delta_p90_mib,dev_peak_delta_p99_mib,energy_count_j_per_sample,energy_std_j_per_sample,energy_min_j_per_sample,energy_max_j_per_sample,energy_p50_j_per_sample,energy_p90_j_per_sample,energy_p99_j_per_sample
convnext_tiny-983f1562.pth,0.822,0.966,1000,109.11867237091064,2.4385230001062155,2.412400208413601,0.30814491140063605,2.2612474858760834,9.229466319084167,2.412400208413601,2.515970356762409,2.553218510001898,2.695934660732746,412.0825523272762,414.5249211362708,17.73630100265996,108.34862660826408,442.233769742619,414.5249211362708,424.1694678641309,426.7183832838866,431.32619794553796,1572.1215625,1572.1640625,1572.1640625,1572.1640625,224,224,224,224,825.81640625,825.81640625,644,644,2399.23046875,2812.4453125,2397.98046875,868,PyTorch-cuda,1.2161550420749192,1.2294118797387927,1.2480006050886585,0,1.2294118797387927,,,,180.937,180.937,180.937,1000,1000,1000,1.3439680055715615,1529.6640625,1572.1640625,1572.1640625,1572.1640625,1000,0,224,224,224,224,1000,0.0931880501092166,0.6111666666666666,2.4730840712487696,1.2294118797387927,1.244814981870726,1.2557198064707218
deit_tiny_distilled_patch16_224.pth,0.741,0.916,1000,22.60559368133545,2.950038196519017,2.594667486846447,0.8977573770314085,2.4048127233982086,6.9639235734939575,2.594667486846447,5.025097727775574,5.181398615241051,5.42062483727932,359.6052351836233,385.4058391398022,68.44670945338379,143.59721060210853,415.8327965709169,385.4058391398022,401.5914572070159,405.0465638082943,410.7302308874668,1553.0175,1553.21875,1553.21875,1553.21875,4,4,4,4,1295.9609375,1295.9609375,740,740,2849.1796875,3416.328125,2849.1796875,744,PyTorch-cuda,0.9066443535570139,0.9058087692447008,0.9121880267167464,0,0.9058087692447008,,,,133.172,133.172,133.172,1000,1000,1000,0.4663994703748773,1550.71875,1553.21875,1553.21875,1553.21875,1000,0,4,4,4,4,1000,0.05847255281950175,0.7960730873085559,1.7739009082429111,0.9058087692447008,0.9095348076898605,1.2670997333164327
densenet121-a639ec97.pth,0.733,0.909,1000,30.84464454650879,6.561500722542405,5.9974053874611855,1.907741100412817,5.755504593253136,22.685443982481956,5.9974053874611855,6.504832766950133,12.57347408682108,13.147752769291401,159.5380484097385,166.73877056408725,24.861606830530746,44.08112976639184,173.74671217745973,166.73877056408725,171.23724770305182,171.97423222444505,173.0460087560727,1279.734375,1279.734375,1279.734375,1279.734375,4,4,4,4,1701.546875,1701.546875,762,762,2982.53125,3543.1171875,2981.28125,766,PyTorch-cuda,1.282723223957458,1.3067555601727217,2.09563721770118,0,1.3067555601727217,,,,128.3185,128.318,128.3185,1000,1000,1000,0.0,1279.734375,1279.734375,1279.734375,1279.734375,1000,0,4,4,4,4,1000,0.3620586404832106,0.8352141235470771,4.205311131998897,1.3067555601727217,1.3167918154327198,2.1679924853962382
efficientnet_b0_torchvision.pth,0.771,0.929,1000,20.460320472717285,3.359784619882703,3.3669741824269295,0.10846596649019527,3.1643658876419067,4.729034379124641,3.3669741824269295,3.4100303426384926,3.4412807784974575,3.771192673593759,297.9103160898321,297.0025744791678,8.519736352094588,211.45965959018955,316.0190810757357,297.0025744791678,308.50878863533165,310.18175643818233,313.8736685158263,1138.234375,1138.234375,1138.234375,1138.234375,4,4,4,4,1835.02734375,1835.02734375,750,750,2973.26171875,3543.39453125,2973.26171875,754,PyTorch-cuda,0.8511365286618806,0.8443364427909255,0.8500933051409201,0,0.8443364427909255,,,,124.226,124.226,124.226,1000,1000,1000,0.0,1138.234375,1138.234375,1138.234375,1138.234375,1000,0,4,4,4,4,1000,0.08850808312292388,0.7810867460444569,2.1155318570313977,0.8443364427909255,0.8479935300264507,0.8649837401922569
inception_v3_google-0cc3c7bd.pth,0.769,0.931,1000,103.90257549285889,5.126657526940107,4.711550660431385,1.0541204933959332,4.505539312958717,11.919274926185608,4.711550660431385,7.742735743522644,7.804735377430916,7.86578169092536,200.9223618885835,212.24434842714157,28.68218085829036,83.89772080876222,221.94901221343812,212.24434842714157,215.78962743726268,217.00141238276706,219.06597398325218,2674.25703125,2674.76953125,2674.76953125,2674.76953125,22,22,22,22,1826.26171875,1826.26171875,814,814,4501.03125,5518.76171875,4501.03125,836,PyTorch-cuda,1.0831927407288928,0.979019941598177,1.8026190080600482,0,0.979019941598177,,,,143.691,143.691,143.691,1000,1000,1000,0.6150992579227332,2673.51953125,2674.76953125,2674.76953125,2674.76953125,1000,0,22,22,22,22,1000,0.3006110155739133,0.7842608272656798,3.4420960899926722,0.979019941598177,1.4675099330004302,1.9521192739790925
levit_128s.pth,0.742,0.923,1000,29.929027557373047,4.269465317949653,4.22211829572916,0.4474965649513,3.9433464407920837,10.39421558380127,4.22211829572916,4.321614652872086,4.368660878390073,6.4821431785821835,235.60911696325968,236.84793507892084,13.681456568713907,96.20735609509937,253.59171835765312,236.84793507892084,243.90432465765053,245.84220686407113,249.8687872609061,1145.2709375,1144.8671875,1146.1171875,1146.1171875,6,6,6,6,2457.06640625,2457.06640625,750,750,3603.18359375,5518.76171875,3601.93359375,756,PyTorch-cuda,0.8496238546315471,0.8327750426232814,0.8374862618947402,0,0.8327750426232814,,,,122.507,122.507,122.5075,1000,1000,1000,0.5848208725353028,1144.8671875,1144.8671875,1146.1171875,1146.1171875,1000,0,6,6,6,6,1000,0.15914047973693496,0.7825643795616924,3.7312115743125323,0.8327750426232814,0.8362011686906219,1.2650721116885506
mnasnet1.0_top1_73.512-f206786ef8.pth,0.729,0.907,1000,16.915318489074707,2.286424096673727,2.270936034619808,0.15822622891563018,2.09772028028965,6.904538720846176,2.270936034619808,2.3515544831752777,2.392101474106312,2.4543300457298756,438.2454170464446,440.34705900824315,14.341351675487045,144.83226764748252,476.7079812289947,440.34705900824315,448.7694008034534,451.38634955627896,457.50998967892014,1148.265625,1148.265625,1148.265625,1148.265625,6,6,6,6,2456.15234375,2456.15234375,746,746,3604.41796875,5518.76171875,3604.41796875,752,PyTorch-cuda,0.8330594187902474,0.8343023233413696,0.8380573842335493,0,0.8343023233413696,,,,122.811,122.811,122.811,1000,1000,1000,0.0,1148.265625,1148.265625,1148.265625,1148.265625,1000,0,6,6,6,6,1000,0.015837396162054325,0.7826033086329698,1.2550872184932231,0.8343023233413696,0.8369520102776588,0.8399179942796379
mobilenet_v2-7ebf99e0.pth,0.713,0.905,1000,13.598034858703613,2.3585431687533855,2.330521121621132,0.19660355045780875,2.1566543728113174,6.13502599298954,2.330521121621132,2.4461571127176285,2.498193923383951,2.6465445198118687,425.4432730286306,429.0885807888738,18.786666373126543,162.99849440616785,463.68115939525586,429.0885807888738,437.68233473689605,440.3366375287143,448.01810272011693,1145.87890625,1145.87890625,1145.87890625,1145.87890625,22,22,22,22,2457.2734375,2457.2734375,754,754,3604.40234375,5518.76171875,3603.15234375,776,PyTorch-cuda,0.8335371916580442,0.8341953227128833,0.8380168188545853,0,0.8341953227128833,,,,122.77250000000001,122.77250000000001,122.77250000000001,1000,1000,1000,0.0,1145.87890625,1145.87890625,1145.87890625,1145.87890625,1000,0,22,22,22,22,1000,0.02275177159916194,0.7781037901490927,1.2587099301293494,0.8341953227128833,0.8370029723089188,0.8397684305776656
mobilenet_v3_small-047dcff4.pth,0.673,0.868,1000,9.829092979431152,2.3990800362080336,2.380817197263241,0.09131169298223972,2.2110026329755783,3.33295576274395,2.380817197263241,2.4841459468007088,2.5456013157963753,2.76858264580369,417.3584266731385,420.0238488936801,14.08398496702086,300.0339852025884,452.2834957705116,420.0238488936801,428.8903482275697,432.28735210722795,442.0971855484414,1145.765625,1145.765625,1145.765625,1145.765625,4,4,4,4,2456.546875,2456.546875,752,752,3602.3125,5518.76171875,3602.3125,756,PyTorch-cuda,0.8082303363922339,0.8018477835785598,0.8056144187107682,0,0.8018477835785598,,,,118.042,118.042,118.042,1000,1000,1000,0.0,1145.765625,1145.765625,1145.765625,1145.765625,1000,0,4,4,4,4,1000,0.10375662341041009,0.3935066666666667,3.6065528427409004,0.8018477835785598,0.8039520615983754,0.815350641982496
mobilevit_xxs.pth,0.663,0.875,1000,4.980935096740723,5.046771425753832,4.171626642346382,1.9026964864034883,3.9054006338119507,14.891240745782852,4.171626642346382,9.038624353706837,9.178567584604025,9.363443031907082,216.93291216702917,239.71464508567283,50.19186130149849,67.15357149021962,256.0556761686005,239.71464508567283,246.10826785060257,248.07515321126817,251.902368149495,575.0,575.0,575.0,575.0,4,4,4,4,2454.8046875,2454.8046875,752,752,3029.8046875,5518.76171875,3029.8046875,756,PyTorch-cuda,0.9844800679334231,0.8324314822107552,1.6392371579109382,0,0.8324314822107552,,,,122.221,122.221,122.221,1000,1000,1000,0.0,575.0,575.0,575.0,575.0,1000,0,4,4,4,4,1000,0.32100658690331485,0.8075304751247168,2.8681668643746527,0.8324314822107552,1.6358768118113278,1.655511480003049
resnet18-f37072fd.pth,0.695,0.879,1000,44.661112785339355,1.2352887094020844,1.2138476595282555,0.06561302704850669,1.144859939813614,1.706726849079132,1.2138476595282555,1.324319839477539,1.3646559789776802,1.5000197477638721,811.5771607224218,823.826609706358,38.790177937900886,585.9168387369965,873.4692910669951,823.826609706358,845.0715490998068,848.0973085766263,853.2175527490871,1143.3125,1143.3125,1143.3125,1143.3125,24,24,24,24,2456.16796875,2456.16796875,792,792,3599.48046875,5518.76171875,3599.48046875,816,PyTorch-cuda,0.4855168902213103,0.47869,0.48153000000000007,0,0.47869,,,,143.517,143.517,143.517,1000,1000,1000,0.0,1143.3125,1143.3125,1143.3125,1143.3125,1000,0,24,24,24,24,1000,0.16689403830686494,0.3848166666666667,3.078395268643896,0.47869,0.4810233333333333,0.48277333333333333
resnet50-11ad3fa6.pth,0.8,0.961,1000,97.79016208648682,2.708814265206456,2.663583494722843,0.2022373719965089,2.5073885917663574,4.685509949922562,2.663583494722843,2.7862533926963806,2.9302241280674934,3.6199420876800974,370.58887369634516,375.43407436311276,19.473691310313956,213.42394119054794,398.82130886443053,375.43407436311276,383.4858516925309,385.2172128668899,388.4737831228262,1153.53125,1153.53125,1153.53125,1153.53125,24,24,24,24,2452.09375,2452.09375,846,846,3605.625,5518.76171875,3605.625,870,PyTorch-cuda,0.990624870964031,0.9854785637110471,0.993815082818456,0,0.9854785637110471,,,,145.037,145.037,145.037,1000,1000,1000,0.0,1153.53125,1153.53125,1153.53125,1153.53125,1000,0,24,24,24,24,1000,0.15694055310856428,0.7833794871345162,4.438368806647137,0.9854785637110471,0.9918884328208863,1.0187066751230562
squeezenet1_1-b8a52dc0.pth,0.595,0.804,1000,4.729117393493652,1.1080224923789501,1.0972414165735245,0.052971860669209815,1.0300520807504654,2.0279623568058014,1.0972414165735245,1.1547209694981575,1.1918580159544945,1.238961685448885,904.10827367471,911.3764623355465,34.41972023721208,493.1057998409191,970.8246977875426,911.3764623355465,932.5307451150666,935.78967529471,947.6306532379474,1143.11171875,1143.26171875,1143.26171875,1143.26171875,4,4,4,4,2457.18359375,2457.18359375,750,750,3600.4453125,5518.76171875,3600.4453125,754,PyTorch-cuda,0.41814392185050564,0.4194,0.42364333333333337,0,0.4194,,,,125.82,125.82,125.82,1000,1000,1000,0.40640517364468326,1142.01171875,1143.26171875,1143.26171875,1143.26171875,1000,0,4,4,4,4,1000,0.015725128153045352,0.38531333333333334,0.8524185171723365,0.4194,0.4227866666666667,0.4241366666666667
